"INSTALACIONES AUTORIZADAS PARA EL ALMACENAMIENTO, TRATAMIENTO, APROVECHAMIENTO, Y/O DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y/O DE APARATOS ELÉCTRICOS Y ELECTRÓNICOS (RAEE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Información registrada por las Autoridades Ambientales y consolidada por el IDEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTA: La presente consulta corresponde al estado de los gestores reportados por la Autoridad ambiental a la fecha de 02/09/2025, 4:26:54 pm Si requiere mayor información, por favor comuníquese con la Autoridad ambiental respectiva de la jurisdicción.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Registros : 299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN SEDES GESTORAS,,,,,,,,,,,,,,INFORMACIÓN CONTACTO SEDES GESTORAS,,,RESPEL: AUTORIZADO PARA,,,,,,,RAEE: AUTORIZADO PARA,,,,,,,AUTORIZACIÓN AMBIENTAL,,,,
Nro.,Departamento,Municipio,Autoridad,NIT o Número de Identificación,Empresa,Nombre Establecimiento,Estado,Desde,Dirección,Teléfono,Latitud,Longitud,Email Representante,Nombre(s) y Apellido(s),Teléfono,Email,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Almacenamiento,Tratamiento,Subgestión,Aprovechamiento,Subgestión,Disposición Final,Subgestión,Acto Administrativo Nro.,Fecha Otorgamiento,Vigencia,Tiene adjunto soporte,Nro. de archivos
55,ATLÁNTICO,BARRANQUILLA,EPABAR,901070361,INVERSIONES SALAZAR HERRERA S.A.S.,INVERSIONES SALAZAR HERRERA S.A.S.,Activo,01/06/2018,CL 30 N 10 - 232 LO 1 Parque Industrial Saturno,3043878627 -,'10.9496972222222','-74.785',inversionessalazarherrera@hotmail.com,YEISON HERNANDO SALAZAR HERRERA,3004759015 -,inversionessalazarherrera@hotmail.com,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y8.5-Aceites dieléctricos de desecho con una concentración menor a 50 mg/kg (50 ppm) de PCB. Si el aceite dieléctrico contiene 50 ppm o más de PCB, clasifíquelo por las corrientes Y10.2 o A3180.2::Y10-Sustancias y artículos de desecho que contengan, o estén contaminados por, bifenilos policlorados (PCB), terfenilos policlorados (PCT) o bifenilos polibromados (PBB).::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1180-Montajes eléctricos y electrónicos de desecho o restos de éstos que contengan componentes como acumuladores y otras baterías incluidos en la lista A, interruptores de mercurio, vidrios de tubos de rayos catódicos y otros vidrios activados y capacitadores de PCB, o contaminados con constituyentes del Anexo I (por ejemplo, cadmio, mercurio, plomo, bifenilo policlorado) en tal grado que posean alguna de las características del Anexo III (véase la entrada correspondiente en la lista B B1110) .::",NO,NO,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y8.5-Aceites dieléctricos de desecho con una concentración menor a 50 mg/kg (50 ppm) de PCB. Si el aceite dieléctrico contiene 50 ppm o más de PCB, clasifíquelo por las corrientes Y10.2 o A3180.2::Y10-Sustancias y artículos de desecho que contengan, o estén contaminados por, bifenilos policlorados (PCB), terfenilos policlorados (PCT) o bifenilos polibromados (PBB).::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::A1180-Montajes eléctricos y electrónicos de desecho o restos de éstos que contengan componentes como acumuladores y otras baterías incluidos en la lista A, interruptores de mercurio, vidrios de tubos de rayos catódicos y otros vidrios activados y capacitadores de PCB, o contaminados con constituyentes del Anexo I (por ejemplo, cadmio, mercurio, plomo, bifenilo policlorado) en tal grado que posean alguna de las características del Anexo III (véase la entrada correspondiente en la lista B B1110) .::",R7-Recuperación de componentes utilizados para reducir la contaminación::R9-Regeneración u otra reutilización de aceites usados (ej. re-refinación)::,NO,NO,1.10-Refrigeración doméstica y comercial::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::,NO,NO,1.10-Refrigeración doméstica y comercial::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::,Otras actividades de recuperación o reciclado::,NO,NO,797,01/06/2018,,SI,1
56,ATLÁNTICO,BARRANQUILLA,EPABAR,811024067,LITO S.A.S.,LITO BARRANQUILLA,Activo,19/02/2016,CALLE 6 No. 47-56,3445165 -,'10.9861111111111','-74.7702777777778',lito@lito.com,CARLOS MEJIA,3445165 -,lito@hotmail.com,"Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y10-Sustancias y artículos de desecho que contengan, o estén contaminados por, bifenilos policlorados (PCB), terfenilos policlorados (PCT) o bifenilos polibromados (PBB).::Y26-Desechos que tengan como constituyentes: Cadmio, compuestos de cadmio.::Y29-Desechos que tengan como constituyentes: Mercurio, compuestos de mercurio.::Y8.5-Aceites dieléctricos de desecho con una concentración menor a 50 mg/kg (50 ppm) de PCB. Si el aceite dieléctrico contiene 50 ppm o más de PCB, clasifíquelo por las corrientes Y10.2 o A3180.2::",NO,NO,"Y26-Desechos que tengan como constituyentes: Cadmio, compuestos de cadmio.::Y29-Desechos que tengan como constituyentes: Mercurio, compuestos de mercurio.::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,NO,NO,NO,NO,NO,NO,NO,1052,17/07/2006,,SI,2
57,ATLÁNTICO,BARRANQUILLA,EPABAR,15930218,ARBOLEDA PEREZ ELKIN DE JESUS,MATERIALES Y HERRAJES ARBOLEDA,Activo,30/10/2019,CL 30 # 10 - 234 BODEGA 48,3218007961 -,'10.95','-74.7847222222222',elkinarboleda38@hotmail.com,ELKIN DE JESUS ARBOLEDA PEREZ,3004759015 -,elkinarboleda38@hotmail.com,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::",NO,NO,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::3.1-Cables y conductores::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::,NO,NO,2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::3.1-Cables y conductores::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::,Otras actividades de recuperación o reciclado::,NO,NO,2353,30/10/2019,,SI,1
58,ATLÁNTICO,BARRANQUILLA,EPABAR,900302738,MEGASERVICIOS PLUS,MEGASERVICIOS PLUS,Activo,24/04/2013,carrera 8 No. 6-153 bodega 7,3205921150 -,'10.9483333333333','-74.7675',clabsilva-23@hotmail.com,claudia bueno silva,3205921150 -,claudiamegaservicios@hotmail.com,NO,NO,NO,NO,NO,NO,NO,2.3-Componentes Electrónicos::2.2-Circuitos Electrónicos::,2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::3.1-Cables y conductores::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::,Mecánico::,NO,NO,NO,NO,576,24/04/2013,,SI,1
59,ATLÁNTICO,BARRANQUILLA,EPABAR,80200032,OXIQUIMICOS S.A ESP,OXIQUIMICO,Activo,17/11/1994,cALLE 56 # 43-147,3700616 -,'10.985992342481156','-74.79374191630245',gerenciacomercial@oxiquimicois.com,ROQUE VIZCAINO,3700616 -,gerenciacomercial@oxiquimicos.com,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1707,30/11/2015,,NO,0
60,ATLÁNTICO,BARRANQUILLA,EPABAR,901224307,PROCESOS Y SERVICIOS ECONORTE S.A.S.,PROCESOS Y SERVICIOS ECONORTE S.A.S.,Activo,16/01/2019,CALLE 106 No. 86a-49,3022561652 -,'11.0419444444444','-74.825',econortebaq@gmail.com,YISET SEPULVEDA ALDANA,3022561652 -,yisetsepulveda80--@gmail.com,"Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::Y9.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos.::Y9.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::","Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::Y9.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos.::Y9.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::","Físico-químico (ej: evaporación, secado, neutralización, precipitación)::","Y9-Mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua.::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y9.2-Elementos o materiales contaminados con hidrocarburos (ej. EPP, estopas, textiles, plásticos, caucho, sierras, geomembranas).::Y9.3-Sólidos o semisólidos impregnados con hidrocarburo (ej. tierra, suelo, arena)::Y9.4-Mezclas o emulsiones líquidas de agua con hidrocarburo, con contenido de sólidos 3%)::Y9.5-Envases, recipientes, canecas, bidones o contenedores que contienen o que están contaminados con hidrocarburos.::Y9.6-Otras mezclas y emulsiones de desechos de aceite y agua o de hidrocarburos y agua, no clasificadas previamente::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.13-Transformadores::","1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.13-Transformadores::",Mecánico::,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.13-Transformadores::",Otras actividades de recuperación o reciclado::,NO,NO,80,16/01/2019,,SI,3
61,ATLÁNTICO,BARRANQUILLA,EPABAR,901312390,RAEE AMBIENTAL SAS,RAEE AMBIENTAL SAS,Activo,15/12/2022,CALLE 30 NO 10 - 214 BG 4,3125008282 -,'10.9494444444444','-74.785',raeeambientalsas@gmail.co,JEFERSON ALFONSO MARTINEZ BURGOS,3125008282 -,raeeambientalsas@gmail.com,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::",NO,NO,"Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.13-Transformadores::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::",NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::",Otras actividades de recuperación o reciclado::,NO,NO,3293,15/12/2022,16/12/2032,SI,1
62,ATLÁNTICO,BARRANQUILLA,EPABAR,901124927,RAEE COLOMBIA SAS,RAEE COLOMBIA SAS,Activo,16/06/2020,Calle 110 No. 6-335 Metro Parque Industrial y Comercial del Caribe M115,3104934679 -,'10.944585636825728','-74.83365297317506',pcontreras@raee.com.co,PAOLA CONTRERAS,3104934679 -,pcontreras@raee.com.co,"Y45-Desechos que tengan como constituyentes: Compuestos organohalogenados, que no sean las sustancias mencionadas en Y39, Y41, Y42, Y43, Y44).::Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::A1160-Acumuladores de plomo de desecho, enteros o triturados.::A2030-Desechos de catalizadores, pero excluidos los desechos de este tipo especificados en la lista B.::",NO,NO,"Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y31-Desechos que tengan como constituyentes: Plomo, compuestos de plomo.::Y45-Desechos que tengan como constituyentes: Compuestos organohalogenados, que no sean las sustancias mencionadas en Y39, Y41, Y42, Y43, Y44).::A1160-Acumuladores de plomo de desecho, enteros o triturados.::A2030-Desechos de catalizadores, pero excluidos los desechos de este tipo especificados en la lista B.::",R7-Recuperación de componentes utilizados para reducir la contaminación::,NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.13-Transformadores::",NO,NO,"1.1-Cocinas y hornos::1.2-Enseres de Audio y Video::1.3-Enseres mayores de hogar::1.4-Enseres menores de calentamiento::1.5-Enseres menores de cocina::1.6-Enseres menores de hogar::1.7-Enseres menores personales::1.8-Equipos de acondicionamiento de aire::1.9-Herramientas para el hogar::1.10-Refrigeración doméstica y comercial::2.1-Antenas para Telecomunicaciones::2.2-Circuitos Electrónicos::2.3-Componentes Electrónicos::2.4-Computadores y equipos para tratamiento de datos::2.5-Equipos electromédicos::2.6-Electrónica de consumo::2.7-Equipos de electrónica de potencia::2.8-Equipos de instrumentación y control::2.9-Equipos de telecomunicaciones::2.10-Periféricos, partes y tarjetas para computadores e impresoras::3.1-Cables y conductores::3.2-Equipo industrial::3.3-Equipos de control y protección::3.4-Equipos de iluminación::3.5-Equipos eléctricos e instalaciones para vehículos::3.6-Grupos electrógenos::3.7-Máquinas y aparatos de oficina::3.8-Motores y generadores::3.9-Otros aparatos y sistemas::3.10-Piezas eléctricas::3.11-Pilas y acumuladores::3.12-Refrigeración y equipos de acondicionamiento de aire industriales::3.13-Transformadores::",Otras actividades de recuperación o reciclado::,NO,NO,1573,16/06/2021,,SI,1
63,ATLÁNTICO,BARRANQUILLA,EPABAR,900273802,RECITRAC S.A.S,RECITRAC S.A.S,Activo,07/09/2018,CRA 20 No 30-51,3226326406 -,'10.9563888888889','-74.7863888888889',gerencia@recitracsas.com,LUIS ACOSTA,3354277 -,gerencia@recitracsas.com,"Y8.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y8.4-Mezclas de aceite lubricante usado con agua::Y8.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y21-Desechos que tengan como constituyentes: Compuestos de cromo hexavalente.::Y24-Desechos que tengan como constituyentes: Arsénico, compuestos de arsénico.::A4050-Desechos que contienen, consisten o están contaminados con algunos de los productos siguientes: - Cianuros inorgánicos, con excepción de residuos que contienen metales preciosos, en forma sólida, con trazas de cianuros inorgánicos::Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::","Y8-Desechos de aceites minerales no aptos para el uso a que estaban destinados.::Y8.1-Aceite lubricante usado (ej. aceite lubricante mineral, sintético, hidráulico usado)::Y8.2-Elementos o materiales contaminados con aceite lubricante usado (ej. EPP, estopas, trapos, filtros, cauchos, aserrín, plásticos, grasas minerales, tapas casing)::Y8.3-Lodos, tierra o sedimentos impregnados de aceite lubricante usado::Y8.4-Mezclas de aceite lubricante usado con agua::Y8.7-Otros desechos de mezclas de aceite y agua no clasificados previamente::Y9.1-Lodos y cortes de perforación base aceite, borras y lodos aceitosos::Y21-Desechos que tengan como constituyentes: Compuestos de cromo hexavalente.::Y24-Desechos que tengan como constituyentes: Arsénico, compuestos de arsénico.::A4050-Desechos que contienen, consisten o están contaminados con algunos de los productos siguientes: - Cianuros inorgánicos, con excepción de residuos que contienen metales preciosos, en forma sólida, con trazas de cianuros inorgánicos::","Físico-químico (ej: evaporación, secado, neutralización, precipitación)::",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1263,07/09/2018,,SI,2
64,ATLÁNTICO,BARRANQUILLA,EPABAR,900835562,RETAMBORES DE LA COSTA S.A.S,RETAMBORES DE LA COSTA S.A.S,Activo,19/11/2015,CRA 8 No 6 # 69,3091596 -,'10.948742808257155','-74.76693055498959',gerencia.bquilla@retamboresltda.com,TANIA PARRA,3091596 -,gerenciabquilla@retambores.com,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1584,19/11/2015,,NO,0
65,ATLÁNTICO,BARRANQUILLA,EPABAR,802007083,SERVICIOS ESPECIALES AMBIENTALES S.A. E.S.P.,SAE,Activo,30/04/2018,KM 6 VIA JUAN MINA CALLE 77 # 67 - 37,3103620737 -,'11.0108333333333','-74.7991666666667',a.suarez@saesa.com.co,JORGE LOPEZ,3103620737 -,a.suarez@saesa.com.co,"Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y4-Desechos resultantes de la producción, la preparación y la utilización de biocidas y productos fitofarmacéuticos.::Y17-Desechos resultantes del tratamiento de superficie de metales y plásticos.::Y18-Residuos resultantes de las operaciones de eliminación de desechos industriales.::Y22-Desechos que tengan como constituyentes: Compuestos de cobre.::Y23-Desechos que tengan como constituyentes: Compuestos de zinc.::Y24-Desechos que tengan como constituyentes: Arsénico, compuestos de arsénico.::Y25-Desechos que tengan como constituyentes: Selenio, compuestos de selenio.::Y26-Desechos que tengan como constituyentes: Cadmio, compuestos de cadmio.::Y41-Desechos que tengan como constituyentes: Solventes orgánicos halogenados.::Y29-Desechos que tengan como constituyentes: Mercurio, compuestos de mercurio.::Y29.2-Desechos que contienen mercurio o compuestos de mercurio (ej. Lámparas fluorescentes compactas o lineales, lámparas de vapor de mercurio, amalgama dental, termómetros de mercurio, manómetros no electrónicos).::","Y1-Desechos clínicos resultantes de la atención médica prestada en hospitales, centros médicos y clínicas.::Y4-Desechos resultantes de la producción, la preparación y la utilización de biocidas y productos fitofarmacéuticos.::Y17-Desechos resultantes del tratamiento de superficie de metales y plásticos.::Y18-Residuos resultantes de las operaciones de eliminación de desechos industriales.::Y22-Desechos que tengan como constituyentes: Compuestos de cobre.::Y23-Desechos que tengan como constituyentes: Compuestos de zinc.::Y24-Desechos que tengan como constituyentes: Arsénico, compuestos de arsénico.::Y25-Desechos que tengan como constituyentes: Selenio, compuestos de selenio.::Y26-Desechos que tengan como constituyentes: Cadmio, compuestos de cadmio.::Y29-Desechos que tengan como constituyentes: Mercurio, compuestos de mercurio.::Y29.2-Desechos que contienen mercurio o compuestos de mercurio (ej. Lámparas fluorescentes compactas o lineales, lámparas de vapor de mercurio, amalgama dental, termómetros de mercurio, manómetros no electrónicos).::Y41-Desechos que tengan como constituyentes: Solventes orgánicos halogenados.::",Térmico: Incineración::,NO,NO,NO,NO,3.4-Equipos de iluminación::,NO,NO,NO,NO,NO,NO,223,10/03/2015,,SI,1
